First Name,Last Name,Team Name,Team Nickname,Aggression,Bravery,Determination,Teamplayer,Leadership,Temperament,Professionalism,Mental Toughness,Goalie Stamina,Acceleration,Agility,Balance,Speed,Stamina,Strength,Fighting,Screening,Getting Open,Passing,Puck Handling,Shooting Accuracy,Shooting Range,Offensive Read,Checking,Faceoffs,Hitting,Positioning,Shot Blocking,Stickchecking,Defensive Read,G Positioning,G Passing,G Pokecheck,Blocker,Glove,Rebound,Recovery,G Puckhandling,Low Shots,G Skating,Reflexes,TPE
Cameron,Gaunce,Syracuse,Crunch,12,15,0,0,0,0,0,1,1,13,13,15,14,14,15,9,8,12,14,13,8,13,12,15,6,15,12,13,15,13,1,1,1,1,1,1,1,1,1,1,1,816
Luke,Schenn,Syracuse,Crunch,8,15,0,0,0,0,0,1,1,12,12,15,13,14,16,12,8,11,12,11,5,15,11,15,6,18,14,16,15,15,1,1,1,1,1,1,1,1,1,1,1,977
Cory,Conacher,Syracuse,Crunch,11,15,0,0,0,0,0,1,1,15,15,13,15,13,12,6,11,15,14,15,15,8,14,13,9,14,13,7,10,13,1,1,1,1,1,1,1,1,1,1,1,815
Spencer,Martin,Syracuse,Crunch,8,1,0,0,0,0,0,15,15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,12,14,13,13,14,12,13,14,13,13,539
Gemel,Smith,Syracuse,Crunch,9,15,0,0,0,0,0,1,1,16,14,12,15,13,13,9,12,14,13,13,15,7,14,16,12,13,14,7,12,15,1,1,1,1,1,1,1,1,1,1,1,882
Scott,Wedgewood,Syracuse,Crunch,7,1,0,0,0,0,0,14,15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,12,13,12,14,14,13,13,14,16,15,592
Mike,Condon,Syracuse,Crunch,8,1,0,0,0,0,0,12,13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,14,14,12,14,14,14,14,14,13,15,554
Nolan,Valleau,Syracuse,Crunch,8,12,0,0,0,0,0,1,1,13,13,12,13,12,13,7,7,9,13,13,7,14,12,13,7,13,14,13,13,13,1,1,1,1,1,1,1,1,1,1,1,560
Patrick,Sieloff,Syracuse,Crunch,14,16,0,0,0,0,0,1,1,14,14,15,14,13,16,12,8,10,11,11,6,14,11,15,7,17,14,12,13,13,1,1,1,1,1,1,1,1,1,1,1,902
Luke,Witkowski,Syracuse,Crunch,14,16,0,0,0,0,0,1,1,13,12,15,12,12,16,14,15,11,13,12,13,5,11,14,9,18,14,14,12,14,1,1,1,1,1,1,1,1,1,1,1,986
Danick,Martel,Syracuse,Crunch,10,15,0,0,0,0,0,1,1,16,15,13,15,14,11,8,11,16,14,15,15,7,14,14,12,15,13,7,10,12,1,1,1,1,1,1,1,1,1,1,1,908
Alex,Barré-Boulet,Syracuse,Crunch,6,13,0,0,0,0,0,1,1,15,15,13,13,13,11,6,11,15,14,14,15,7,15,11,12,11,12,6,11,14,1,1,1,1,1,1,1,1,1,1,1,712
Mathieu,Joseph,Syracuse,Crunch,8,14,0,0,0,0,0,1,1,17,13,13,18,15,13,6,13,15,14,15,16,8,15,14,10,16,15,7,13,15,1,1,1,1,1,1,1,1,1,1,1,1133
Mitchell,Stephens,Syracuse,Crunch,7,13,0,0,0,0,0,1,1,13,12,14,15,13,14,6,14,14,13,13,15,6,12,14,13,13,12,7,13,12,1,1,1,1,1,1,1,1,1,1,1,717
Daniel,Walcott,Syracuse,Crunch,12,13,0,0,0,0,0,1,1,15,14,13,14,13,12,8,7,11,14,14,8,13,14,13,7,13,14,14,12,15,1,1,1,1,1,1,1,1,1,1,1,745
Ben,Thomas,Syracuse,Crunch,7,11,0,0,0,0,0,1,1,15,14,13,15,13,13,8,7,13,14,15,7,15,13,14,7,13,14,12,13,14,1,1,1,1,1,1,1,1,1,1,1,759
Cal,Foote,Syracuse,Crunch,8,14,0,0,0,0,0,1,1,14,11,13,15,13,15,8,8,14,14,15,8,15,13,13,6,15,13,11,14,12,1,1,1,1,1,1,1,1,1,1,1,778
Alexander,Volkov,Syracuse,Crunch,9,14,0,0,0,0,0,1,1,15,15,12,15,14,13,7,13,15,14,15,15,7,14,11,9,12,14,7,12,13,1,1,1,1,1,1,1,1,1,1,1,809
Otto,Somppi,Syracuse,Crunch,6,11,0,0,0,0,0,1,1,14,14,12,14,12,13,6,13,13,14,14,13,6,13,13,13,10,13,6,12,12,1,1,1,1,1,1,1,1,1,1,1,618
Taylor,Raddysh,Syracuse,Crunch,8,13,0,0,0,0,0,1,1,11,11,14,13,13,15,7,15,14,14,14,15,7,15,13,10,13,12,6,13,11,1,1,1,1,1,1,1,1,1,1,1,720
Boris,Katchouk,Syracuse,Crunch,9,14,0,0,0,0,0,1,1,12,11,14,13,12,13,9,14,14,13,13,14,7,13,14,10,15,13,7,13,13,1,1,1,1,1,1,1,1,1,1,1,691
Devante,Stephens,Syracuse,Crunch,10,13,0,0,0,0,0,1,1,14,14,14,14,14,13,7,7,10,14,14,6,15,12,12,6,12,11,13,12,12,1,1,1,1,1,1,1,1,1,1,1,651
Dennis,Yan,Syracuse,Crunch,9,11,0,0,0,0,0,1,1,15,15,13,15,15,14,8,13,14,13,15,15,7,14,13,10,13,11,6,12,11,1,1,1,1,1,1,1,1,1,1,1,769
Oleg,Sosunov,Syracuse,Crunch,8,14,0,0,0,0,0,1,1,10,10,15,13,13,16,8,10,11,13,12,7,15,12,15,6,16,13,10,16,12,1,1,1,1,1,1,1,1,1,1,1,765
Ross,Colton,Syracuse,Crunch,8,11,0,0,0,0,0,1,1,13,12,14,13,13,14,8,14,14,12,14,14,7,14,13,13,14,13,7,13,12,1,1,1,1,1,1,1,1,1,1,1,700
Jimmy,Huntington,Syracuse,Crunch,8,13,0,0,0,0,0,1,1,14,12,13,14,13,13,6,13,14,14,14,15,6,15,10,13,12,11,7,13,13,1,1,1,1,1,1,1,1,1,1,1,698
Ryan,White,Manitoba,Moose,16,15,0,0,0,0,0,1,1,12,13,14,12,12,13,14,14,12,12,14,13,6,12,15,15,17,15,7,14,14,1,1,1,1,1,1,1,1,1,1,1,972
Seth,Griffith,Manitoba,Moose,7,13,0,0,0,0,0,1,1,13,12,12,13,15,12,6,11,14,16,15,15,7,15,13,11,11,13,7,11,15,1,1,1,1,1,1,1,1,1,1,1,747
Brent,Pedersen,Manitoba,Moose,10,13,0,0,0,0,0,1,1,11,10,13,12,14,14,8,14,12,12,12,13,5,12,12,9,12,13,7,14,12,1,1,1,1,1,1,1,1,1,1,1,558
Eric,Comrie,Manitoba,Moose,9,1,0,0,0,0,0,14,15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,13,13,13,14,14,14,13,14,15,15,587
J.C.,Lipon,Manitoba,Moose,14,16,0,0,0,0,0,1,1,13,13,14,14,12,14,14,15,15,13,14,14,7,14,14,10,16,12,7,13,11,1,1,1,1,1,1,1,1,1,1,1,928
Charles-David,Beaudoin,Manitoba,Moose,16,14,0,0,0,0,0,1,1,11,10,13,12,14,14,10,4,6,11,12,6,12,9,12,8,13,11,12,12,11,1,1,1,1,1,1,1,1,1,1,1,534
Jimmy,Oligny,Manitoba,Moose,14,13,0,0,0,0,0,1,1,12,12,15,11,14,16,14,7,11,13,12,6,14,12,15,6,16,13,14,13,13,1,1,1,1,1,1,1,1,1,1,1,825
Émile,Poirier,Manitoba,Moose,9,14,0,0,0,0,0,1,1,14,13,14,15,12,13,9,13,13,13,13,13,5,12,14,10,14,13,7,14,13,1,1,1,1,1,1,1,1,1,1,1,705
Bobby,Lynch,Manitoba,Moose,7,12,0,0,0,0,0,1,1,14,13,13,13,12,13,4,14,14,13,14,13,5,14,11,10,10,11,5,12,12,1,1,1,1,1,1,1,1,1,1,1,579
Peter,Stoykewych,Manitoba,Moose,9,12,0,0,0,0,0,1,1,13,11,14,13,12,14,8,8,9,12,13,7,14,10,14,7,12,14,13,14,13,1,1,1,1,1,1,1,1,1,1,1,589
Derek,Hulak,Manitoba,Moose,6,12,0,0,0,0,0,1,1,14,14,13,13,13,13,6,13,13,13,14,13,6,14,14,7,11,14,7,14,13,1,1,1,1,1,1,1,1,1,1,1,664
Cameron,Schilling,Manitoba,Moose,8,14,0,0,0,0,0,1,1,13,12,14,12,14,15,8,8,14,15,14,7,17,14,14,7,14,14,14,14,13,1,1,1,1,1,1,1,1,1,1,1,881
Nelson,Nogier,Manitoba,Moose,8,15,0,0,0,0,0,1,1,13,13,15,14,15,15,8,8,10,12,11,6,14,12,15,6,16,13,15,14,14,1,1,1,1,1,1,1,1,1,1,1,832
Sami,Niku,Manitoba,Moose,7,13,0,0,0,0,0,1,1,14,14,14,15,14,14,6,7,13,15,15,8,16,15,13,6,11,13,13,14,14,1,1,1,1,1,1,1,1,1,1,1,850
Johnny,Kovacevic,Manitoba,Moose,8,13,0,0,0,0,0,1,1,12,10,14,13,12,15,7,8,12,14,15,6,15,13,14,6,13,14,13,15,12,1,1,1,1,1,1,1,1,1,1,1,715
Cole,Maier,Manitoba,Moose,10,13,0,0,0,0,0,1,1,12,12,13,13,13,13,7,13,12,13,13,13,5,14,12,13,11,13,7,13,13,1,1,1,1,1,1,1,1,1,1,1,590
Hayden,Shaw,Manitoba,Moose,10,12,0,0,0,0,0,1,1,10,10,11,12,14,11,6,7,10,13,15,9,15,12,11,5,11,12,12,13,11,1,1,1,1,1,1,1,1,1,1,1,488
Michael,Spacek,Manitoba,Moose,7,13,0,0,0,0,0,1,1,15,14,13,14,13,13,7,12,13,14,14,14,6,13,14,13,11,14,7,13,14,1,1,1,1,1,1,1,1,1,1,1,741
Andrei,Chibisov,Manitoba,Moose,9,14,0,0,0,0,0,1,1,12,11,16,13,13,16,9,16,12,13,13,14,5,13,15,10,16,13,8,14,13,1,1,1,1,1,1,1,1,1,1,1,866
