{'first_name': 'Cameron', 'last_name': 'Gaunce', 'Team Name': 'Syracuse', 'Team Nickname': 'Crunch', 'Aggression': 12, 'Bravery': 15, 'Determination': 0, 'Teamplayer': 0, 'Leadership': 0, 'Temperament': 0, 'Professionalism': 0, 'Mental Toughness': 1, 'Goalie Stamina': 1, 'Acceleration': 13, 'Agility': 13, 'Balance': 15, 'Speed': 14, 'Stamina': 14, 'Strength': 15, 'Fighting': 9, 'Screening': 8, 'Getting Open': 12, 'Passing': 14, 'Puck Handling': 13, 'Shooting Accuracy': 8, 'Shooting Range': 13, 'Offensive Read': 12, 'Checking': 15, 'Faceoffs': 6, 'Hitting': 15, 'Positioning': 12, 'Shot Blocking': 13, 'Stickchecking': 15, 'Defensive Read': 13, 'G Positioning': 1, 'G Passing': 1, 'G Pokecheck': 1, 'Blocker': 1, 'Glove': 1, 'Rebound': 1, 'Recovery': 1, 'G Puckhandling': 1, 'Low Shots': 1, 'G Skating': 1, 'Reflexes': 1, 'TPE': 816}
{'first_name': 'Luke', 'last_name': 'Schenn', 'Team Name': 'Syracuse', 'Team Nickname': 'Crunch', 'Aggression': 8, 'Bravery': 15, 'Determination': 0, 'Teamplayer': 0, 'Leadership': 0, 'Temperament': 0, 'Professionalism': 0, 'Mental Toughness': 1, 'Goalie Stamina': 1, 'Acceleration': 12, 'Agility': 12, 'Balance': 15, 'Speed': 13, 'Stamina': 14, 'Strength': 16, 'Fighting': 12, 'Screening': 8, 'Getting Open': 11, 'Passing': 12, 'Puck Handling': 11, 'Shooting Accuracy': 5, 'Shooting Range': 15, 'Offensive Read': 11, 'Checking': 15, 'Faceoffs': 6, 'Hitting': 18, 'Positioning': 14, 'Shot Blocking': 16, 'Stickchecking': 15, 'Defensive Read': 15, 'G Positioning': 1, 'G Passing': 1, 'G Pokecheck': 1, 'Blocker': 1, 'Glove': 1, 'Rebound': 1, 'Recovery': 1, 'G Puckhandling': 1, 'Low Shots': 1, 'G Skating': 1, 'Reflexes': 1, 'TPE': 977}
{'first_name': 'Cory', 'last_name': 'Conacher', 'Team Name': 'Syracuse', 'Team Nickname': 'Crunch', 'Aggression': 11, 'Bravery': 15, 'Determination': 0, 'Teamplayer': 0, 'Leadership': 0, 'Temperament': 0, 'Professionalism': 0, 'Mental Toughness': 1, 'Goalie Stamina': 1, 'Acceleration': 15, 'Agility': 15, 'Balance': 13, 'Speed': 15, 'Stamina': 13, 'Strength': 12, 'Fighting': 6, 'Screening': 11, 'Getting Open': 15, 'Passing': 14, 'Puck Handling': 15, 'Shooting Accuracy': 15, 'Shooting Range': 8, 'Offensive Read': 14, 'Checking': 13, 'Faceoffs': 9, 'Hitting': 14, 'Positioning': 13, 'Shot Blocking': 7, 'Stickchecking': 10, 'Defensive Read': 13, 'G Positioning': 1, 'G Passing': 1, 'G Pokecheck': 1, 'Blocker': 1, 'Glove': 1, 'Rebound': 1, 'Recovery': 1, 'G Puckhandling': 1, 'Low Shots': 1, 'G Skating': 1, 'Reflexes': 1, 'TPE': 815}
{'first_name': 'Spencer', 'last_name': 'Martin', 'Team Name': 'Syracuse', 'Team Nickname': 'Crunch', 'Aggression': 8, 'Bravery': 1, 'Determination': 0, 'Teamplayer': 0, 'Leadership': 0, 'Temperament': 0, 'Professionalism': 0, 'Mental Toughness': 15, 'Goalie Stamina': 15, 'Acceleration': 1, 'Agility': 1, 'Balance': 1, 'Speed': 1, 'Stamina': 1, 'Strength': 1, 'Fighting': 1, 'Screening': 1, 'Getting Open': 1, 'Passing': 1, 'Puck Handling': 1, 'Shooting Accuracy': 1, 'Shooting Range': 1, 'Offensive Read': 1, 'Checking': 1, 'Faceoffs': 1, 'Hitting': 1, 'Positioning': 1, 'Shot Blocking': 1, 'Stickchecking': 1, 'Defensive Read': 1, 'G Positioning': 15, 'G Passing': 12, 'G Pokecheck': 14, 'Blocker': 13, 'Glove': 13, 'Rebound': 14, 'Recovery': 12, 'G Puckhandling': 13, 'Low Shots': 14, 'G Skating': 13, 'Reflexes': 13, 'TPE': 539}
{'first_name': 'Gemel', 'last_name': 'Smith', 'Team Name': 'Syracuse', 'Team Nickname': 'Crunch', 'Aggression': 9, 'Bravery': 15, 'Determination': 0, 'Teamplayer': 0, 'Leadership': 0, 'Temperament': 0, 'Professionalism': 0, 'Mental Toughness': 1, 'Goalie Stamina': 1, 'Acceleration': 16, 'Agility': 14, 'Balance': 12, 'Speed': 15, 'Stamina': 13, 'Strength': 13, 'Fighting': 9, 'Screening': 12, 'Getting Open': 14, 'Passing': 13, 'Puck Handling': 13, 'Shooting Accuracy': 15, 'Shooting Range': 7, 'Offensive Read': 14, 'Checking': 16, 'Faceoffs': 12, 'Hitting': 13, 'Positioning': 14, 'Shot Blocking': 7, 'Stickchecking': 12, 'Defensive Read': 15, 'G Positioning': 1, 'G Passing': 1, 'G Pokecheck': 1, 'Blocker': 1, 'Glove': 1, 'Rebound': 1, 'Recovery': 1, 'G Puckhandling': 1, 'Low Shots': 1, 'G Skating': 1, 'Reflexes': 1, 'TPE': 882}
{'first_name': 'Scott', 'last_name': 'Wedgewood', 'Team Name': 'Syracuse', 'Team Nickname': 'Crunch', 'Aggression': 7, 'Bravery': 1, 'Determination': 0, 'Teamplayer': 0, 'Leadership': 0, 'Temperament': 0, 'Professionalism': 0, 'Mental Toughness': 14, 'Goalie Stamina': 15, 'Acceleration': 1, 'Agility': 1, 'Balance': 1, 'Speed': 1, 'Stamina': 1, 'Strength': 1, 'Fighting': 1, 'Screening': 1, 'Getting Open': 1, 'Passing': 1, 'Puck Handling': 1, 'Shooting Accuracy': 1, 'Shooting Range': 1, 'Offensive Read': 1, 'Checking': 1, 'Faceoffs': 1, 'Hitting': 1, 'Positioning': 1, 'Shot Blocking': 1, 'Stickchecking': 1, 'Defensive Read': 1, 'G Positioning': 14, 'G Passing': 12, 'G Pokecheck': 13, 'Blocker': 12, 'Glove': 14, 'Rebound': 14, 'Recovery': 13, 'G Puckhandling': 13, 'Low Shots': 14, 'G Skating': 16, 'Reflexes': 15, 'TPE': 592}
{'first_name': 'Mike', 'last_name': 'Condon', 'Team Name': 'Syracuse', 'Team Nickname': 'Crunch', 'Aggression': 8, 'Bravery': 1, 'Determination': 0, 'Teamplayer': 0, 'Leadership': 0, 'Temperament': 0, 'Professionalism': 0, 'Mental Toughness': 12, 'Goalie Stamina': 13, 'Acceleration': 1, 'Agility': 1, 'Balance': 1, 'Speed': 1, 'Stamina': 1, 'Strength': 1, 'Fighting': 1, 'Screening': 1, 'Getting Open': 1, 'Passing': 1, 'Puck Handling': 1, 'Shooting Accuracy': 1, 'Shooting Range': 1, 'Offensive Read': 1, 'Checking': 1, 'Faceoffs': 1, 'Hitting': 1, 'Positioning': 1, 'Shot Blocking': 1, 'Stickchecking': 1, 'Defensive Read': 1, 'G Positioning': 14, 'G Passing': 14, 'G Pokecheck': 14, 'Blocker': 12, 'Glove': 14, 'Rebound': 14, 'Recovery': 14, 'G Puckhandling': 14, 'Low Shots': 14, 'G Skating': 13, 'Reflexes': 15, 'TPE': 554}
{'first_name': 'Nolan', 'last_name': 'Valleau', 'Team Name': 'Syracuse', 'Team Nickname': 'Crunch', 'Aggression': 8, 'Bravery': 12, 'Determination': 0, 'Teamplayer': 0, 'Leadership': 0, 'Temperament': 0, 'Professionalism': 0, 'Mental Toughness': 1, 'Goalie Stamina': 1, 'Acceleration': 13, 'Agility': 13, 'Balance': 12, 'Speed': 13, 'Stamina': 12, 'Strength': 13, 'Fighting': 7, 'Screening': 7, 'Getting Open': 9, 'Passing': 13, 'Puck Handling': 13, 'Shooting Accuracy': 7, 'Shooting Range': 14, 'Offensive Read': 12, 'Checking': 13, 'Faceoffs': 7, 'Hitting': 13, 'Positioning': 14, 'Shot Blocking': 13, 'Stickchecking': 13, 'Defensive Read': 13, 'G Positioning': 1, 'G Passing': 1, 'G Pokecheck': 1, 'Blocker': 1, 'Glove': 1, 'Rebound': 1, 'Recovery': 1, 'G Puckhandling': 1, 'Low Shots': 1, 'G Skating': 1, 'Reflexes': 1, 'TPE': 560}
{'first_name': 'Patrick', 'last_name': 'Sieloff', 'Team Name': 'Syracuse', 'Team Nickname': 'Crunch', 'Aggression': 14, 'Bravery': 16, 'Determination': 0, 'Teamplayer': 0, 'Leadership': 0, 'Temperament': 0, 'Professionalism': 0, 'Mental Toughness': 1, 'Goalie Stamina': 1, 'Acceleration': 14, 'Agility': 14, 'Balance': 15, 'Speed': 14, 'Stamina': 13, 'Strength': 16, 'Fighting': 12, 'Screening': 8, 'Getting Open': 10, 'Passing': 11, 'Puck Handling': 11, 'Shooting Accuracy': 6, 'Shooting Range': 14, 'Offensive Read': 11, 'Checking': 15, 'Faceoffs': 7, 'Hitting': 17, 'Positioning': 14, 'Shot Blocking': 12, 'Stickchecking': 13, 'Defensive Read': 13, 'G Positioning': 1, 'G Passing': 1, 'G Pokecheck': 1, 'Blocker': 1, 'Glove': 1, 'Rebound': 1, 'Recovery': 1, 'G Puckhandling': 1, 'Low Shots': 1, 'G Skating': 1, 'Reflexes': 1, 'TPE': 902}
{'first_name': 'Luke', 'last_name': 'Witkowski', 'Team Name': 'Syracuse', 'Team Nickname': 'Crunch', 'Aggression': 14, 'Bravery': 16, 'Determination': 0, 'Teamplayer': 0, 'Leadership': 0, 'Temperament': 0, 'Professionalism': 0, 'Mental Toughness': 1, 'Goalie Stamina': 1, 'Acceleration': 13, 'Agility': 12, 'Balance': 15, 'Speed': 12, 'Stamina': 12, 'Strength': 16, 'Fighting': 14, 'Screening': 15, 'Getting Open': 11, 'Passing': 13, 'Puck Handling': 12, 'Shooting Accuracy': 13, 'Shooting Range': 5, 'Offensive Read': 11, 'Checking': 14, 'Faceoffs': 9, 'Hitting': 18, 'Positioning': 14, 'Shot Blocking': 14, 'Stickchecking': 12, 'Defensive Read': 14, 'G Positioning': 1, 'G Passing': 1, 'G Pokecheck': 1, 'Blocker': 1, 'Glove': 1, 'Rebound': 1, 'Recovery': 1, 'G Puckhandling': 1, 'Low Shots': 1, 'G Skating': 1, 'Reflexes': 1, 'TPE': 986}
{'first_name': 'Danick', 'last_name': 'Martel', 'Team Name': 'Syracuse', 'Team Nickname': 'Crunch', 'Aggression': 10, 'Bravery': 15, 'Determination': 0, 'Teamplayer': 0, 'Leadership': 0, 'Temperament': 0, 'Professionalism': 0, 'Mental Toughness': 1, 'Goalie Stamina': 1, 'Acceleration': 16, 'Agility': 15, 'Balance': 13, 'Speed': 15, 'Stamina': 14, 'Strength': 11, 'Fighting': 8, 'Screening': 11, 'Getting Open': 16, 'Passing': 14, 'Puck Handling': 15, 'Shooting Accuracy': 15, 'Shooting Range': 7, 'Offensive Read': 14, 'Checking': 14, 'Faceoffs': 12, 'Hitting': 15, 'Positioning': 13, 'Shot Blocking': 7, 'Stickchecking': 10, 'Defensive Read': 12, 'G Positioning': 1, 'G Passing': 1, 'G Pokecheck': 1, 'Blocker': 1, 'Glove': 1, 'Rebound': 1, 'Recovery': 1, 'G Puckhandling': 1, 'Low Shots': 1, 'G Skating': 1, 'Reflexes': 1, 'TPE': 908}
